source,target,weight
FOXJ3,PRXL2B,6.573614477985587
JUN,ALG14,6.568802962045084
GMEB1,PLPP3,6.567786849031224
ENO1,SVBP,6.567609267159283
E2F2,FAM76A,6.565327018986811
ENO1,INPP5B,6.562218210994548
NFIA,ZBTB8B,6.560863621611999
E2F2,ST3GAL3,6.560785026531027
JUN,UBR4,6.560581998895079
JUN,EXOSC10-AS1,6.55631514339005
HIVEP3,GLIS1,6.552963157965795
YBX1,UBE2U,6.5483835927917555
FUBP1,FNDC7,6.531967621536955
POU3F1,PUSL1,6.51432546051537
GFI1,C1orf167,6.511632460804904
ENO1,CDC20,6.50273557700491
RUNX3,KCNC4,6.497892292945114
JUN,ZC3H12A,6.494448743075205
FUBP1,NPPA,6.492881116131126
ENO1,SRSF10,6.479708373230364
MTF1,MTHFR,6.478382695556801
YBX1,LINC01160,6.468364230145272
JUN,ZMYM4,6.4676111816849735
JUN,TMED5,6.466610839082505
E2F2,MED8,6.466138178367224
ENO1,KHDRBS1,6.464787641979088
JUN,NEXN,6.459750803890592
JUN,LINC01677,6.456250842736981
HES4,GBP4,6.444687195493474
NFYC,GNG12-AS1,6.4439766838299315
GFI1,DLEU2L,6.435962060950076
JUN,COL9A2,6.431899184692661
TAL1,FNBP1L,6.430765800865786
TAL1,LDLRAD2,6.426871084095915
NFYC,KANK4,6.421212811725513
ENO1,MRPL20-AS1,6.420601258557491
JUN,GNG12-AS1,6.408907232390194
JUN,RNF11,6.407599347498828
ID3,SLFNL1,6.396066141167837
ENO1,RPL5,6.386543159042569
FUBP1,MCOLN3,6.384257407606277
NFYC,CFAP57,6.380416439512875
TAL1,CACHD1,6.380198728355508
ZNF691,LINC02574,6.376465485511599
HIVEP3,EPHA2,6.3745814192528565
ENO1,HMGN2,6.360844944722626
FUBP1,ZBTB8B,6.359212876605534
MTF1,ARHGEF10L,6.357280668098661
YBX1,TMEM201,6.353777430334449
JUN,PINK1-AS,6.349342457735053
YBX1,RAVER2,6.347350424574023
E2F2,EBNA1BP2,6.341809584536022
FOXJ3,PIK3CD-AS1,6.338424523458426
ENO1,SCMH1,6.329762425505167
ENO1,UBE2J2,6.316925612691856
HES4,LINC02795,6.313758561008635
ZNF684,OSCP1,6.30733006209268
FOXJ3,BCL2L15,6.306684165443269
JUN,FAAH,6.284196540672871
JUN,LURAP1,6.284075785854936
FOXJ3,CLCA1,6.275341126152788
JUN,DIO1,6.272534761209616
ID3,VAV3-AS1,6.26593415273547
ENO1,CTPS1,6.263381924404069
NFIA,FCN3,6.2607916728955795
E2F2,PSRC1,6.256816409302878
JUN,SLC44A5,6.247531256388732
ENO1,ZFP69,6.237780611575928
MTF1,PKN2,6.234487009333733
JUN,CCDC24,6.233812443101205
JUN,PRKCZ,6.229894036018868
GFI1,PRKCZ-AS1,6.229266033906301
TP73,DDOST,6.226406961884645
JUN,LINC01725,6.222437192086618
JUN,SFPQ,6.220220408606959
FOXJ3,SKI,6.217295001992019
